datetime,forecast_mean,forecast_lower,forecast_upper,confidence_interval
2025-09-14 17:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-14 18:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-14 19:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-14 20:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-14 21:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-14 22:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-14 23:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-15 00:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-15 01:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-15 02:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-15 03:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-15 04:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-15 05:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-15 06:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-15 07:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-15 08:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-15 09:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-15 10:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-15 11:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-15 12:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-15 13:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-15 14:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-15 15:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-15 16:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-15 17:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-15 18:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-15 19:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-15 20:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-15 21:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-15 22:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-15 23:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-16 00:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-16 01:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-16 02:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-16 03:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-16 04:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-16 05:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-16 06:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-16 07:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-16 08:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-16 09:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-16 10:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-16 11:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-16 12:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-16 13:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-16 14:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-16 15:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-16 16:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-16 17:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-16 18:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-16 19:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
